nohup: ignoring input
Importing module 'gym_38' (/home/wutr/IsaacGym/isaacgym/python/isaacgym/_bindings/linux-x86_64/gym_38.so)
Setting GYM_USD_PLUG_INFO_PATH to /home/wutr/IsaacGym/isaacgym/python/isaacgym/_bindings/linux-x86_64/usd/plugInfo.json
PyTorch version 2.3.1
Device count 3
/home/wutr/IsaacGym/isaacgym/python/isaacgym/_bindings/src/gymtorch
Using /home/wutr/.cache/torch_extensions/py38_cu121 as PyTorch extensions root...
Emitting ninja build file /home/wutr/.cache/torch_extensions/py38_cu121/gymtorch/build.ninja...
Building extension module gymtorch...
Allowing ninja to set a default number of workers... (overridable by setting the environment variable MAX_JOBS=N)
ninja: no work to do.
Loading extension module gymtorch...
Setting seed: 1
Not connected to PVD
+++ Using GPU PhysX
Physics Engine: PhysX
Physics Device: cuda:1
GPU Pipeline: enabled
Actor MLP: Sequential(
  (0): Linear(in_features=45, out_features=512, bias=True)
  (1): ELU(alpha=1.0)
  (2): Linear(in_features=512, out_features=256, bias=True)
  (3): ELU(alpha=1.0)
  (4): Linear(in_features=256, out_features=128, bias=True)
  (5): ELU(alpha=1.0)
  (6): Linear(in_features=128, out_features=12, bias=True)
)
Critic MLP: Sequential(
  (0): Linear(in_features=45, out_features=512, bias=True)
  (1): ELU(alpha=1.0)
  (2): Linear(in_features=512, out_features=256, bias=True)
  (3): ELU(alpha=1.0)
  (4): Linear(in_features=256, out_features=128, bias=True)
  (5): ELU(alpha=1.0)
  (6): Linear(in_features=128, out_features=1, bias=True)
)
Loading low-level policy checkpoint: /home/wutr/IsaacGym/legged_gym_go2/logs/rough_go2/Sep08_11-57-26_/model_18500.pt
Actor MLP: Sequential(
  (0): Linear(in_features=24, out_features=512, bias=True)
  (1): ELU(alpha=1.0)
  (2): Linear(in_features=512, out_features=512, bias=True)
  (3): ELU(alpha=1.0)
  (4): Linear(in_features=512, out_features=512, bias=True)
  (5): ELU(alpha=1.0)
  (6): Linear(in_features=512, out_features=512, bias=True)
  (7): ELU(alpha=1.0)
  (8): Linear(in_features=512, out_features=3, bias=True)
)
Critic MLP: Sequential(
  (0): Linear(in_features=24, out_features=512, bias=True)
  (1): ELU(alpha=1.0)
  (2): Linear(in_features=512, out_features=512, bias=True)
  (3): ELU(alpha=1.0)
  (4): Linear(in_features=512, out_features=512, bias=True)
  (5): ELU(alpha=1.0)
  (6): Linear(in_features=512, out_features=512, bias=True)
  (7): ELU(alpha=1.0)
  (8): Linear(in_features=512, out_features=1, bias=True)
)
Reach-Avoid training
  envs       : 4096
  obs dim    : 24
  action dim : 3
  horizon    : 200
  device     : cuda:1
  log dir    : logs/high_level_go2/20251125-074525
iter 00001 | success 0.016 | policy_loss 0.01460 | value_loss 9177.16162 | Vmean -0.017 | Rmean 61.530 | Vrmse 135.566 | VexpVar -0.000 | adv_std 120.790 | elapsed 29.79s
iter 00002 | success 0.012 | policy_loss 0.00061 | value_loss 8573.69421 | Vmean 0.468 | Rmean 58.519 | Vrmse 131.025 | VexpVar 0.001 | adv_std 117.463 | elapsed 29.02s
iter 00003 | success 0.014 | policy_loss -0.00000 | value_loss 8268.71979 | Vmean 0.747 | Rmean 56.524 | Vrmse 128.676 | VexpVar 0.001 | adv_std 115.958 | elapsed 29.98s
iter 00004 | success 0.021 | policy_loss -0.00014 | value_loss 8538.50586 | Vmean 1.242 | Rmean 56.702 | Vrmse 130.746 | VexpVar 0.002 | adv_std 118.400 | elapsed 33.39s
iter 00005 | success 0.022 | policy_loss -0.00010 | value_loss 7660.79242 | Vmean 1.515 | Rmean 50.045 | Vrmse 123.848 | VexpVar 0.003 | adv_std 113.944 | elapsed 32.50s
iter 00006 | success 0.027 | policy_loss -0.00012 | value_loss 7108.65079 | Vmean 1.828 | Rmean 44.870 | Vrmse 119.301 | VexpVar 0.005 | adv_std 111.266 | elapsed 31.97s
iter 00007 | success 0.025 | policy_loss -0.00013 | value_loss 7101.61115 | Vmean 2.297 | Rmean 46.558 | Vrmse 119.246 | VexpVar 0.006 | adv_std 110.728 | elapsed 34.42s
iter 00008 | success 0.029 | policy_loss -0.00015 | value_loss 7057.86807 | Vmean 2.533 | Rmean 44.778 | Vrmse 118.880 | VexpVar 0.008 | adv_std 111.121 | elapsed 33.56s
iter 00009 | success 0.036 | policy_loss -0.00014 | value_loss 6878.96872 | Vmean 2.749 | Rmean 41.379 | Vrmse 117.350 | VexpVar 0.012 | adv_std 110.809 | elapsed 33.99s
iter 00010 | success 0.041 | policy_loss -0.00004 | value_loss 6940.32632 | Vmean 2.756 | Rmean 40.871 | Vrmse 117.870 | VexpVar 0.015 | adv_std 111.537 | elapsed 35.27s
  saved checkpoint: logs/high_level_go2/20251125-074525/model_10.pt
iter 00011 | success 0.042 | policy_loss -0.00015 | value_loss 6669.29541 | Vmean 2.822 | Rmean 39.435 | Vrmse 115.547 | VexpVar 0.016 | adv_std 109.593 | elapsed 33.95s
iter 00012 | success 0.047 | policy_loss -0.00009 | value_loss 6552.46198 | Vmean 2.971 | Rmean 37.065 | Vrmse 114.546 | VexpVar 0.018 | adv_std 109.354 | elapsed 30.89s
iter 00013 | success 0.057 | policy_loss -0.00015 | value_loss 6793.80142 | Vmean 3.053 | Rmean 34.407 | Vrmse 116.635 | VexpVar 0.026 | adv_std 112.342 | elapsed 29.34s
iter 00014 | success 0.058 | policy_loss -0.00007 | value_loss 6426.32217 | Vmean 3.285 | Rmean 32.856 | Vrmse 113.431 | VexpVar 0.030 | adv_std 109.509 | elapsed 29.76s
iter 00015 | success 0.063 | policy_loss -0.00011 | value_loss 6851.94153 | Vmean 3.067 | Rmean 34.226 | Vrmse 117.128 | VexpVar 0.034 | adv_std 112.908 | elapsed 30.27s
